บาง	b-aa-ng^-0|
ชำแหละ	ch-a-m^-0|l-x-z^-1|
ตี๋	t-ii-z^-4|
กร่าง	kr-aa-ng^-1|
โดย	d-oo-j^-0|
นั่ง	n-a-ng^-2|
รถ	r-o-t^-3|
เข็น	kh-e-n^-4|
มา	m-aa-z^-0|
นาง	n-aa-ng^-0|
เอพริว	z-ee-z^-0|phr-i-w^-0|
เบ็ญจกุล	b-e-n^-0|c-a-z^-1|k-u-n^-0|
มารดา	m-aa-n^-0|d-aa-z^-0|
เป็น	p-e-n^-0|
ผู้	ph-uu-z^-2|
พา	ph-aa-z^-0|
หม่อมศรีรัศมิ์	m-@@-m^-1|s-ii-z^-4|r-a-t^-3|
มหิดลณอยุธยา	m-a-z^-3|h-i-z^-1|d-o-n^-0|n-a-z^-3|z-a-z^-1|j-u-t^-4|th-a-z^-3|j-aa-z^-0|
ราด	r-aa-t^-2|
อึ	z-v-z^-1|
ประท้วง	pr-a-z^-1|th-uua-ng^-3|
อีก	z-ii-k^-1|
ครั้ง	khr-a-ng^-3|
นี้	n-ii-z^-3|
แปลก	pl-xx-k^-1|
กว่า	kw-aa-z^-1|
เก่า	k-a-w^-1|
อย่าง	j-aa-ng^-1|
แน่	n-xx-z^-2|
นอน	n-@@-n^-0|
สระแก้ว	s-a-z^-1|k-xx-w^-2|
ชุมพร	ch-u-m^-0|ph-@@-n^-0|
สุราษฎร์ธานี	s-u-z^-1|r-aa-t^-2|th-aa-z^-0|n-ii-z^-0|
พัทลุง	ph-a-t^-3|th-a-z^-3|l-u-ng^-0|
และ	l-x-z^-3|
เพชรบุรี	ph-e-t^-3|ch-a-z^-3|b-u-z^-1|r-ii-z^-0|
ส่ง	s-o-ng^-1|
เสริม	s-qq-m^-4|
ให้	h-a-j^-2|
จัด	c-a-t^-1|
ทำ	th-a-m^-0|
ศูนย์	s-uu-n^-4|
รี	r-ii-z^-0|
ไซ	s-a-j^-0|
เคิล	kh-qq-l^-2|
ชุมชน	ch-u-m^-0|ch-o-n^-0|
ธนาคาร	th-a-z^-3|n-aa-z^-0|kh-aa-n^-0|
ขยะ	kh-a-z^-1|j-a-z^-1|
รีไซเคิล	r-ii-z^-0|s-a-j^-0|kh-qq-l^-2|
โรง	r-oo-ng^-0|
เรียน	r-iia-n^-0|
ปุ๋ย	p-u-j^-4|
หมัก	m-a-k^-1|
น้ำ	n-a-m^-3|
จุลินทรีย์	c-u-z^-1|l-i-n^-0|s-ii-z^-0|
อื่น	z-vv-n^-1|
ได้	d-a-j^-2|
ลด	l-o-t^-3|
พิจารณา	ph-i-z^-3|c-aa-z^-0|r-a-z^-3|n-aa-z^-0|
ราย	r-aa-j^-0|
รวม	r-uua-m^-0|
ทั้ง	th-a-ng^-3|
เผื่อ	ph-vva-z^-1|
ช่อง	ch-@@-ng^-2|
ทาง	th-aa-ng^-0|
พลิก	phl-i-k^-3|
แพลง	phl-xx-ng^-0|
แข่ง	kh-xx-ng^-1|
ขัน	kh-a-n^-4|
ต่าง	t-aa-ng^-1|
ประเทศ	pr-a-z^-1|th-ee-t^-2|
ข่ม	kh-o-m^-1|
ขู่	kh-uu-z^-1|
จิ๋ว	c-i-w^-4|
ขอ	kh-@@-z^-4|
เก้าอี้	k-a-w^-2|z-ii-z^-2|
รัฐมนตรี	r-a-t^-3|th-a-z^-1|m-o-n^-0|tr-ii-z^-0|
ยี่	j-ii-z^-2|
ห้อ	h-@@-z^-2|
โคลท์	kh-oo-l^-0|
กลาง	kl-aa-ng^-0|
ต่อ	t-@@-z^-1|
สวน	s-uua-n^-4|
เพื่อ	ph-vva-z^-2|
วิจัย	w-i-z^-3|c-a-j^-0|
หา	h-aa-z^-4|
ลำดับ	l-a-m^-0|d-a-p^-1|
เบส	b-ee-s^-3|
ข้าว	kh-aa-w^-2|
สาย	s-aa-j^-4|
พันธุ์	ph-a-n^-0|
นิพพอน	n-i-p^-3|ph-@@-n^-2|
บาเร	b-aa-z^-0|r-ee-z^-2|
ศึกษา	s-v-k^-1|s-aa-z^-4|
โครโมโซม	khr-oo-z^-0|m-oo-z^-0|s-oo-m^-0|
เก้า	k-a-w^-2|
ประมาณ	pr-a-z^-1|m-aa-n^-0|
สอง	s-@@-ng^-4|
ล้าน	l-aa-n^-3|
สี่	s-ii-z^-1|
ร้อย	r-@@-j^-3|
สาม	s-aa-m^-4|
สิบ	s-i-p^-1|
นั้น	n-a-n^-3|
ขณะ	kh-a-z^-1|n-a-z^-1|
ส่วน	s-uua-n^-1|
ไทย	th-a-j^-0|
เสร็จ	s-e-t^-1|
สิ้น	s-i-n^-2|
โอกาส	z-oo-z^-0|k-aa-t^-1|
กด	k-o-t^-1|
เกรด	kr-ee-t^-1|
หรือ	r-vv-z^-4|
เฟ้อ	f-qq-z^-3|
จึง	c-v-ng^-0|
เกิด	k-qq-t^-1|
ขึ้น	kh-v-n^-2|
น้อย	n-@@-z^-3|
มาก	m-aa-k^-2|
ถอย	th-@@-j^-4|
กรูด	kr-uu-t^-1|
ขริบ	khr-i-p^-1|
หู	h-uu-z^-4|
สุนัข	s-u-z^-1|n-a-k^-3|
อนาคต	z-a-z^-1|n-aa-z^-0|k-o-t^-3|
หาก	h-aa-k^-1|
เหลือ	l-vva-z^-4|
พอ	ph-@@-z^-0|
วัตถุ	w-a-t^-3|th-u-z^-1|
ระเบิด	r-a-z^-3|b-qq-t^-1|
สารพิษ	s-aa-n^-4|ph-i-t^-3|
สาร	s-aa-n^-4|
ติด	t-i-t^-1|
เชื้อ	ch-vva-z^-3|
กัมมันตรังสี	k-a-m^-0|m-a-n^-0|t-a-z^-1|r-a-ng^-0|s-ii-z^-4|
ก๊าซ	k-aa-t^-3|
เหลว	l-ee-w^-4|
บรรจุ	b-a-n^-0|c-u-z^-1|
ภาชนะ	ph-aa-z^-0|ch-a-z^-1|n-a-z^-3|
ปริมาณ	p-a-z^-1|r-i-z^-3|m-aa-n^-0|
กัน	k-a-n^-0|
เกิน	k-qq-n^-0|
หนึ่ง	n-v-ng^-1|
พัน	ph-a-n^-0|
ลิตร	l-i-t^-3|
กรรมการ	k-a-m^-0|m-a-z^-0|k-aa-n^-0|
วัฒนา	w-a-t^-3|th-a-z^-0|n-aa-z^-0|
ฟาร์มาซูติคัล	f-aa-z^-0|m-aa-z^-0|s-uu-z^-0|t-i-z^-1|kh-a-l^-2|
เด็กซ์โทรส	d-e-k^-3|thr-oo-s^-3|
จำกัด	c-a-m^-0|k-a-t^-1|
เพราะ	phr-@-z^-3|
เท่า	th-a-w^-2|
เคย	kh-qq-j^-0|
หนี้	n-ii-z^-2|
เสีย	s-iia-z^-4|
ระบบ	r-a-z^-3|b-o-p^-1|
ผ่อน	ph-@@-n^-1|
ชำระ	ch-a-m^-0|r-a-z^-3|
เครื่อง	khr-vva-ng^-2|
โทรศัพท์	th-oo-z^-0|r-a-z^-3|s-a-p^-1|
มือ	m-vv-z^-0|
ถือ	th-vv-z^-4|
รีเทล	r-ii-z^-0|th-ee-l-0|
ไฟแนนซ์	f-a-j^-0|n-xx-n^-3|
พุ่ง	ph-u-ng^-2|
สูง	s-uu-ng^-4|
ถึง	th-v-ng^-4|
ห้า	h-a-z^-2|
เปอร์เซ็นต์	p-qq-z^-0|s-e-n^-0|
มิ่งขวัญ	m-i-ng^-2|khw-a-n^-4|
เปรี้ยง	pr-iia-ng^-2|
ใหม่	m-a-j^-1|
สุด	s-u-t^-1|
จ๊าบ	c-aa-p^-3|
เข้า	kh-a-w^-2|
แทรกแซง	s-xx-k^-2|s-xx-ng^-0|
ปิด	p-i-t^-1|
ท่า	th-aa-z^-2|
เรือ	r-vva-z^-0|
ฝั่ง	f-a-ng^-1|
ตะวัน	t-a-z^-1|w-a-n^-0|
ตก	t-o-k^-1|
เวสต์โคสต์	w-ee-s^-0|kh-oo-s^-2|
พอร์ต	ph-@@-t^-1|
โครงการ	khr-oo-ng^-0|k-aa-n^-0|
บรีส	br-ii-t^-2|
เปิด	p-qq-t^-1|
โลก	l-oo-k^-2|
สู่	s-uu-z^-1|
เด็ก	d-e-k^-1|
ภัณฑ์	ph-a-n^-0|
ใช้	ch-a-j^-3|
ดัชนี	d-a-t^-1|ch-a-z^-0|n-ii-z^-0|
บลูชิพ	bl-uu-z^-0|ch-i-p^-3|
ยุโรป	j-u-z^-3|r-oo-p^-2|
จุด	c-u-t^-1|
เจ็ด	c-e-t^-1|
เผย	ph-qq-j^-4|
บิ๊กจิ๋ว	b-i-k^-3|c-i-w^-4|
แทบ	th-xx-p^-2|
กระอัก	kr-a-z^-1|z-a-k^-1|
เลือด	l-vva-t^-2|
รายงาน	r-aa-j^-0|ng-aa-n^-0|
บท	b-o-t^-1|
บรรณาธิการ	b-a-n^-0|n-aa-z^-0|th-i-z^-3|k-aa-n^-0|
ว่า	w-aa-z^-2|
นัก	n-a-k^-3|
การเมือง	k-aa-n^-0|m-vva-ng^-0|
หญิง	j-i-ng^-4|
ต้อง	t-@@-ng^-2|
กลาย	kl-aa-j^-0|
ข่าว	kh-aa-w^-1|
อื้อ	z-vv-z^-2|
ฉาว	ch-aa-w^-4|
ชื่อ	ch-vv-z^-2|
ชู	ch-uu-z^-0|
เหม่ย	m-qq-j^-1|
เฟ็ง	f-e-ng^-0|
ครั่น	khr-a-n^-2|
ตัว	t-uua-z^-0|
รอ	r-@@-z^-0|
เวลา	w-ee-z^-0|l-aa-z^-0|
ระทึก	r-a-z^-3|th-v-k^-3|
เช่น	ch-ee-n^-2|
หลาย	l-aa-j^-4|
วัน	w-a-n^-0|
เก๋	k-ee-z^-4|
กรม	kr-o-m^-0|
วิชา	w-i-z^-3|ch-aa-z^-0|
เขียน	kh-iia-n^-4|
ศุล	s-u-n^-4|
ตั้ง	t-a-ng^-2|
เขต	kh-ee-t^-1|
ดิวตี้ฟรี	d-i-w^-0|t-ii-z^-2|fr-ii-z^-0|
เว้น	w-ee-n^-3|
ภาษี	ph-aa-z^-0|s-ii-z^-4|
เอสเอ็มอี	z-ee-s^-3|z-e-m^-0|z-ii-z^-0|
คือ	kh-vv-z^-0|
แมสบ็อกซ์	m-xx-s^-3|b-@-k^-2|
ยัง	j-a-ng^-0|
บาด	b-aa-t^-1|
แผล	phl-xx-z^-4|
ถูก	th-uu-k^-1|
เชือด	ch-vva-t^-2|
ซ้ำ	s-a-m^-3|
คม	kh-o-m^-0|
เหวอะ	w-q-z^-1|
หลอด	l-@@-t^-1|
ลม	l-o-m^-0|
ขาด	kh-aa-t^-1|
อาทิ	z-aa-z^-0|th-i-z^-3|
ขนม	kh-a-z^-1|n-o-m^-4|
โดนัต	d-oo-z^-0|n-a-t^-3|
เปาะเปี๊ยะ	p-@-z^-1|p-ia-z^-3|
ทอด	th-@@-t^-2|
สังกัด	s-a-ng^-4|k-a-t^-1|
แพคส์	ph-xx-k^-0|
อาร์มี่	z-aa-z^-0|m-ii-z^-2|
การ์ด	k-aa-t^-1|
กรุ๊ป	kr-u-p^-3|
อินเตอร์	z-i-n^-0|t-qq-z^-0|
เนชั่นแนล	n-ee-z^-0|ch-a-n^-2|n-xx-l^-0|
อำนวย	z-a-m^-0|n-uua-j^-0|
หวย	h-uua-j^-4|
แก้	k-xx-z^-2|
ข้อ	kh-@@-z^-2|
ลิ้น	l-i-n^-3|
ความ	khw-aa-m^-0|
คืบ	kh-vv-p^-2|
หน้า	n-aa-z^-2|
คดี	kh-a-z^-3|d-ii-z^-0|
ล็อก	l-@-k^-3|
นาย	n-aa-j^-0|
สมาน	s-a-z^-1|m-aa-n^-4|
จิ๋วกร่าง	c-i-w^-4|kr-aa-ng^-1|
ผู้ใหญ่	ph-uu-z^-2|j-a-j^-1|
รอง	r-@@-ng^-0|
แขวะ	khw-x-z^-1|
นายก	n-aa-z^-0|j-o-k^-3|
กลืน	kl-vv-n^-0|
น้ำลาย	n-a-m^-3|l-aa-j^-0|
ใช่	ch-a-j^-2|
ประเด็น	pr-a-z^-1|d-e-n^-0|
ตรวจ	tr-uua-t^-1|
ไขว้เขว	khw-a-j^-2|khw-ee-z^-4|
ออเดรย์	z-@@-z^-0|dr-ee-z^-0|
แฮปเบิร์น	h-xx-p^-3|b-qq-n^-0|
โหว่	w-oo-z^-1|
ป้องกัน	p-@@-ng^-2|k-a-n^-0|
ผิด	ph-i-t^-1|
พลาด	phl-aa-t^-2|
แสดง	s-a-z^-1|d-xx-ng^-0|
อาการ	z-aa-z^-0|k-aa-n^-0|
ดุ	d-u-z^-1|
ร้าย	r-aa-j^-3|
กระโดด	kr-a-z^-1|d-oo-t^-1|
งับ	ng-a-p^-3|
หัว	h-uua-z^-4|
น้อง	n-@@-ng^-3|
มล	m-o-n^-0|
สะบัด	s-a-z^-1|b-a-t^-1|
จน	c-o-n^-0|
ล้ม	l-o-m^-3|
ยืน	j-vv-n^-0|
แก้ม	k-xx-m^-2|
ก้น	k-o-n^-2|
กัด	k-a-t^-1|
ฉีก	ch-ii-k^-1|
กวาง	kw-aa-ng^-0|
เหยาะ	j-@-z^-1|
พริก	phr-i-k^-3|
ดับ	d-a-p^-1|
กลิ่น	kl-i-n^-1|
คาว	kh-aa-w^-0|
ได้แก่	d-a-j^-2|k-xx-z^-1|
กอล์ฟ	k-@@-f^-3|
ช็อปปิ้ง	ch-@-p^-3|p-i-ng^-2|
กลุ่ม	kl-u-m^-1|
ฮันนีมูน	h-a-n^-0|n-ii-z^-0|m-uu-n^-0|
ตน	t-o-n^-0|
เฮ	h-ee-z^-0|
สะใจ	s-a-z^-1|c-a-j^-0|
เลย	l-qq-j^-0|
ล้อม	l-@@-m^-3|
ยิง	j-i-ng^-0|
ดิ้น	d-i-n^-2|
จระเข้	c-a-z^-1|r-a-z^-3|kh-ee-z^-2|
หิว	h-i-w^-4|
โซ	s-oo-z^-0|
โผล่	phl-oo-z^-1|
เขมือบ	kh-a-z^-1|m-vva-p^-1|
แมว	m-xx-w^-0|
ชี้	ch-ii-z^-3|
โป๊ะเชะ	p-o-z^-3|ch-e-z^-3|
วีเจ	w-ii-z^-0|c-ee-z^-0|
จ๋า	c-aa-z^-4|
ณัฐฐาวีรนุช	n-a-t^-3|th-aa-z^-4|w-ii-z^-0|r-a-z^-3|n-u-t^-3|
ทองมี	th-@@-ng^-0|m-ii-z^-0|
ห้าง	h-aa-ng^-2|
ฮกฮั้ว	h-o-k^-3|h-uua-z^-3|
จังหวัด	c-a-ng^-0|w-a-t^-1|
สุโขทัย	s-u-z^-1|kh-oo-z^-4|th-a-j^-0|
ขลุง	khl-u-ng^-4|
คุดคู้	kh-u-t^-3|kh-uu-z^-3|
คว่ำ	khw-a-m^-2|
อยู่	j-uu-z^-1|
พื้น	ph-vv-n^-3|
แม้	m-xx-z^-3|
อาเตอะ	z-aa-z^-0|t-q-z^-1|
ง้อ	ng-@@-z^-3|
ไร	r-a-j^-0|
ก็	k-@@-z^-2|
ยอม	j-@@-m^-0|
เสด็จ	s-a-z^-1|d-e-t^-1|
พลับพลา	phl-a-p^-3|phl-aa-z^-0|
ประทับ	pr-a-z^-1|th-a-p^-3|
สมาชิก	s-a-z^-1|m-aa-z^-0|ch-i-k^-3|
วุฒิสภา	w-u-t^-3|th-i-t^-3|s-a-z^-1|ph-aa-z^-0|
ร่วม	r-uua-m^-2|
เรื่อง	r-vva-ng^-2|
ประกวด	pr-a-z^-1|k-uua-t^-1|
นะ	n-a-z^-3|
ฮะ	h-a-z^-3|
ครึกครื้น	khr-v-k^-3|khr-vv-n^-3|
เมื่อ	m-vva-z^-2|
แก๊ง	k-xx-ng^-3|
ใต้	t-a-j^-2|
ดิน	d-i-n^-0|
วาง	w-aa-ng^-0|
แผน	ph-xx-n^-4|
บุก	b-u-k^-1|
ฉก	ch-o-k^-1|
บรู๊คลีน	br-uu-k^-3|l-ii-n^-0|
ช่าง	ch-aa-ng^-2|
ทา	th-aa-z^-0|
ชะตา	ch-a-z^-3|t-aa-z^-0|
สลิง	s-a-z^-1|l-i-ng^-0|
ร่วง	r-uua-ng^-2|
ผล็อย	phl-@-j^-4|
ปรับ	pr-a-p^-1|
สัน	s-a-n^-4|
อินเทรนด์	z-i-n^-0|thr-ee-n^-0|
บู๊ทส์	b-uu-t^-3|
โทน	th-oo-n^-0|
อบ	z-o-p^-1|
อุ่น	z-u-n^-1|
ชอบ	ch-@@-p^-2|
พูดจา	ph-uu-t^-2|c-aa-z^-0|
กระแหนะกระแหน	kr-a-z^-1|n-x-z^-3|kr-a-z^-1|n-xx-z^-4|
ฝ่าย	f-aa-j^-1|
ค้าน	kh-aa-n^-3|
เงียบ	ng-iia-p^-2|
บ้าง	b-aa-ng^-2|
ห้อง	h-@@-ng^-2|
พัก	ph-a-k^-3|
แรม	r-xx-m^-0|
บ่อน	b-@@-n^-1|
กาสิโน	k-aa-z^-0|s-i-z^-1|n-oo-z^-0|
แห่ง	h-xx-ng^-1|
คน	kh-o-n^-0|
พลุ	phl-u-z^-3|
พล่าน	phl-aa-n^-2|
งวด	ng-uua-t^-2|
ซื้อ	s-vv-z^-3|
ปั๊ว	p-uua-z^-3|
ตาม	t-aa-m^-0|
คอย	kh-@@-j^-0|
สกัด	s-a-z^-1|k-a-t^-1|
หลุด	l-u-t^-1|
ทะเล	th-a-z^-3|l-ee-z^-0|
เดียว	d-iia-w^-0|
ชุด	ch-u-t^-3|
ไล่	l-a-j^-2|
ล่า	l-aa-z^-2|
รับ	r-a-p^-3|
แจ้ง	c-xx-ng^-2|
ชาว	ch-aa-w^-0|
พบ	ph-o-p^-3|
เห็น	h-e-n^-4|
เข้	kh-ee-z^-2|
บริเวณ	b-@@-z^-0|r-i-z^-0|w-ee-n^-0|
ร่อง	r-@@-ng^-2|
หลัง	l-a-ng^-4|
โม่	m-oo-z^-2|
แป้ง	p-xx-ng^-2|
มัน	m-a-n^-0|
โค้ว	khw-oo-z^-3|
ชั่ง	ch-a-ng^-2|
เฮี๊ยะ	h-ia-z^-3|
หมู่	m-uu-z^-1|
สะพาน	s-a-z^-1|ph-aa-n^-0|
เบย์	b-ee-z^-0|
บริดจ์	br-i-t^-1|
โคโรนาโด	kh-oo-z^-0|r-oo-z^-0|n-aa-z^-0|d-oo-z^-2|
ซานดิเอโก	s-aa-n^-0|d-i-z^-1|z-ee-z^-0|k-oo-z^-0|
วินเซนต์โทมัส	w-i-n^-0|s-ee-n^-3|th-oo-z^-0|m-a-s^-3|
ลอสแอนเจลิส	l-@@-s^-3|z-xx-n^-0|c-ee-z^-0|l-ii-s^-3|
ซึ่ง	s-v-ng^-2|
หลักฐาน	l-a-k^-1|th-aa-n^-4|
ประมวล	pr-a-z^-1|m-uua-n^-0|
อินทิรา	z-i-n^-0|th-i-z^-3|r-aa-z^-0|
ธนวิสุทธิ์	th-a-z^-3|n-a-z^-3|w-i-z^-3|s-u-t^-1|
รองเท้า	r-@@-ng^-0|th-a-w^-3|
ส้น	s-o-n^-2|
เชือก	ch-vva-k^-2|
ผูก	ph-uu-k^-1|
ด้าน	d-aa-n^-2|
ศศิธร	s-a-z^-1|s-i-z^-1|th-@@-n^-0|
วัฒนกุล	w-a-t^-3|th-a-z^-3|n-a-z^-3|k-u-n^-0|
กระเป๋า	kr-a-z^-1|p-a-w^-4|
นันทิดา	n-a-n^-0|th-i-z^-3|d-aa-z^-0|
อัศวเหม	z-a-t^-1|s-a-z^-1|w-a-z^-3|h-ee-m^-4|
เจ้า	c-a-w^-2|
มูลนิธิ	m-uu-n^-0|l-a-z^-0|n-i-z^-3|th-i-z^-3|
ท่งเต็กเซี่ยงตึ๊ง	th-o-ng^-2|t-e-k^-3|s-iia-ng^-2|t-v-ng^-3|
แพทย์	ph-xx-t^-2|
เวร	w-ee-n^-0|
พยาบาล	ph-a-z^-3|j-aa-z^-0|b-aa-n^-0|
บาเจาะ	b-aa-z^-0|c-@-z^-1|
ประกอบ	pr-a-z^-1|k-@@-p^-1|
มะดารี	m-a-z^-3|d-aa-z^-0|r-ii-z^-0|
นิอิงเจ๊ะแฮ	n-i-z^-3|z-i-ng^-0|c-e-z^-3|h-xx-z^-0|
มะนาเซเจ๊ะเด	m-a-z^-3|n-aa-z^-0|s-ee-z^-0|c-e-z^-3|d-ee-z^-0|
นาเซสะนิง	n-aa-z^-0|s-ee-z^-0|s-a-z^-1|n-i-ng^-0|
นาซอรี	n-aa-z^-0|s-@@-z^-0|r-ii-z^-0|
อาแวเจ๊ะเซ็ง	z-aa-z^-0|w-xx-z^-0|c-e-z^-3|s-e-ng^-0|
หิน	h-i-n^-4|
ลั่น	l-a-n^-2|
กร้าว	kr-aa-w^-2|
ห้าม	h-aa-m^-2|
ทีม	th-ii-m^-0|
แบลร์	bl-xx-z^-0|
กล่าว	kl-aa-w^-1|
คิด	kh-i-t^-3|
อารีฟลีสเชอร์	z-aa-z^-0|r-ii-z^-0|pl-ii-s^-3|ch-qq-z^-2|
ขนบ	kh-a-z^-1|n-o-p^-1|
ธรรมเนียม	th-a-m^-0|n-iia-m^-0|
ประเพณี	pr-a-z^-1|ph-ee-z^-0|n-ii-z^-0|
อัน	z-a-n^-0|
ดี	d-ii-z^-0|
งาม	ng-aa-m^-0|
แต่	t-xx-z^-1|
ดั่ง	d-a-ng^-1|
เดิม	d-qq-m^-0|
เริ่ม	r-qq-m^-2|
หาย	h-aa-j^-4|
กระแส	kr-a-z^-1|s-xx-z^-4|
อัตรา	z-a-t^-1|tr-aa-z^-0|
ดอก	d-@@-k^-1|
เบี้ย	b-iia-z^-2|
เสียง	s-iia-ng^-4|
ตอบ	t-@@-p^-1|
กว้าง	kw-aa-ng^-2|
ขวาง	khw-aa-ng^-4|
ทุก	th-u-k^-3|
วงการ	w-o-ng^-0|k-aa-n^-0|
แบบ	b-xx-p^-1|
ตั๊ว	t-uua-z^-3|
เสื้อ	s-vva-z^-2|
คลุม	khl-u-m^-0|
ยาว	j-aa-w^-0|
ปัก	p-a-k^-1|
เลื่อม	l-vva-m^-2|
หลาก	l-aa-k^-1|
โชว์	ch-oo-z^-0|
เฉิน	ch-qq-n^-4|
จู	c-uu-z^-0|
ยก	j-o-k^-3|
เลิก	l-qq-k^-2|
เซ็น	s-e-n^-0|
สัญญา	s-a-n^-4|j-aa-z^-0|
หมู	m-uu-z^-4|
ตื่น	t-vv-n^-1|
กลัว	kl-uua-z^-0|
จม	c-o-m^-0|
บารอน	b-aa-z^-0|r-@@-n^-0|
เนสบริเจตต์	n-ee-s^-3|br-i-z^-0|c-ee-t^-0|
โบเจน	b-oo-z^-0|c-ee-n^-0|
ศีรษะ	s-ii-z^-4|s-a-z^-1|
ซ้าย	s-aa-j^-3|
ทะลุ	th-a-z^-3|l-u-z^-3|
ขวา	khw-aa-z^-4|
นัด	n-a-t^-3|
กอง	k-@@-ng^-0|
ข้าง	kh-aa-ng^-2|
โต๊ะ	t-o-z^-3|
แผนก	ph-a-z^-1|n-xx-k^-1|
สิน	s-i-n^-4|
เชื่อ	ch-vva-z^-2|
ห่าง	h-aa-ng^-1|
ประตู	pr-a-z^-1|t-uu-z^-0|
ราว	r-aa-w^-0|
เมตร	m-ee-t^-2|
สงสัย	s-o-ng^-4|s-a-j^-4|
เชอเรมนิกส์เฟลิกซ์	ch-qq-z^-0|r-ee-m^-0|n-i-k^-3|f-ee-z^-0|l-i-k^-2|
อายุ	z-aa-z^-0|j-u-z^-3|
เอ็ด	z-e-t^-1|
ปี	p-ii-z^-0|
เทอม	th-qq-m^-0|
ทุจริต	th-u-z^-3|c-a-z^-0|r-i-t^-1|
เยอะ	j-q-z^-3|
ปลั๊ก	pl-a-k^-3|
ปลาย	pl-aa-j^-0|
เสียบ	s-iia-p^-1|
กระทะ	kr-a-z^-1|th-a-z^-3|
ตัด	t-a-t^-1|
ทรานสคริปต์	thr-aa-n^-0|s-a-z^-0|khr-i-p^-3|
วิชาการ	w-i-z^-3|ch-aa-z^-0|k-aa-n^-0|
แฟ็บ	f-x-p^-3|
สบู่	s-a-z^-1|b-uu-z^-1|
ยา	j-aa-z^-0|
ฟัน	f-a-n^-0|
เรือน	r-vva-n^-0|
จำ	c-a-m^-0|
บริจาค	b-@@-z^-0|r-i-z^-1|c-aa-k^-1|
ขัง	kh-a-ng^-4|
ประจำ	pr-a-z^-1|c-a-m^-0|
ล่วง	l-uua-ng^-2|
ละเมิด	l-a-z^-3|m-qq-t^-2|
ร่าง	r-aa-ng^-2|
กาย	k-aa-j^-0|
แตะ	t-x-z^-1|
อั๋ง	z-a-ng^-4|
